date,stoppage_count_day,stoppage_count_night,stoppage_count_total,lost_time_day_min,lost_time_night_min,long_duration_loss_min,total_lost_time_min,month
2026-01-02,95.0,93.0,188.0,50.0,50.0,0.0,100.0,Jan
2026-01-05,27.0,80.0,107.0,20.0,40.0,360.0,420.0,Jan
2026-01-06,85.0,70.0,155.0,50.0,40.0,60.0,150.0,Jan
2026-01-07,89.0,89.0,178.0,50.0,50.0,0.0,100.0,Jan
2026-01-08,59.0,59.0,118.0,50.0,30.0,0.0,80.0,Jan
2026-01-09,58.0,73.0,131.0,60.0,50.0,0.0,110.0,Jan
2026-01-12,66.0,65.0,131.0,30.0,30.0,100.0,160.0,Jan
2026-01-13,101.0,78.0,179.0,70.0,50.0,0.0,120.0,Jan
2026-01-14,63.0,72.0,135.0,30.0,40.0,170.0,240.0,Jan
2026-01-15,67.0,59.0,126.0,30.0,30.0,0.0,60.0,Jan
2026-01-16,31.0,63.0,94.0,20.0,30.0,0.0,50.0,Jan
2026-01-19,87.0,69.0,156.0,40.0,40.0,90.0,170.0,Jan
2026-01-20,58.0,36.0,94.0,30.0,20.0,0.0,50.0,Jan
2026-01-21,18.0,81.0,99.0,10.0,50.0,0.0,60.0,Jan
2026-01-22,33.0,46.0,79.0,20.0,30.0,0.0,50.0,Jan
2026-01-23,25.0,62.0,87.0,20.0,50.0,0.0,70.0,Jan
2026-01-26,48.0,82.0,130.0,30.0,40.0,30.0,100.0,Jan
2026-01-27,31.0,34.0,65.0,20.0,20.0,0.0,40.0,Jan
2026-01-28,40.0,53.0,93.0,20.0,30.0,0.0,50.0,Jan
2026-01-29,45.0,47.0,92.0,20.0,20.0,0.0,40.0,Jan
2026-01-30,20.0,34.0,54.0,10.0,20.0,110.0,140.0,Jan
2026-02-02,22.0,54.0,76.0,10.0,30.0,530.0,570.0,Feb
2026-02-03,50.0,43.0,93.0,30.0,20.0,0.0,50.0,Feb
2026-02-04,42.0,37.0,79.0,20.0,20.0,0.0,40.0,Feb
2026-02-05,36.0,37.0,73.0,20.0,20.0,0.0,40.0,Feb
2026-02-06,51.0,32.0,83.0,30.0,20.0,0.0,50.0,Feb
2026-02-09,52.0,48.0,100.0,30.0,30.0,0.0,60.0,Feb
2026-02-10,50.0,41.0,91.0,30.0,20.0,0.0,50.0,Feb
2026-02-11,52.0,38.0,90.0,30.0,20.0,0.0,50.0,Feb
2026-02-12,26.0,61.0,87.0,10.0,30.0,0.0,40.0,Feb
2026-02-13,39.0,32.0,71.0,20.0,20.0,0.0,40.0,Feb
2026-02-14,52.0,36.0,88.0,30.0,20.0,0.0,50.0,Feb
2026-02-19,26.0,56.0,82.0,20.0,30.0,0.0,50.0,Feb
2026-02-20,66.0,60.0,126.0,30.0,30.0,0.0,60.0,Feb
2026-02-21,64.0,0.0,64.0,30.0,0.0,0.0,30.0,Feb
2026-02-23,55.0,70.0,125.0,30.0,40.0,0.0,70.0,Feb
2026-02-24,74.0,106.0,180.0,40.0,50.0,0.0,90.0,Feb
2026-02-25,69.0,54.0,123.0,40.0,30.0,0.0,70.0,Feb
2026-02-26,71.0,78.0,149.0,40.0,40.0,0.0,80.0,Feb
2026-02-27,75.0,28.0,103.0,40.0,10.0,50.0,100.0,Feb
2026-03-03,25.0,36.0,61.0,20.0,20.0,300.0,340.0,Mar
2026-03-04,92.0,37.0,129.0,50.0,20.0,40.0,110.0,Mar
2026-03-05,51.0,37.0,88.0,30.0,20.0,0.0,50.0,Mar
2026-03-06,56.0,38.0,94.0,30.0,20.0,0.0,50.0,Mar
2026-03-09,33.0,41.0,74.0,20.0,20.0,0.0,40.0,Mar
2026-03-10,48.0,37.0,85.0,20.0,20.0,0.0,40.0,Mar
2026-03-11,38.0,33.0,71.0,30.0,20.0,0.0,50.0,Mar
2026-03-12,38.0,58.0,96.0,20.0,30.0,30.0,80.0,Mar
2026-03-13,52.0,53.0,105.0,30.0,30.0,80.0,140.0,Mar
2026-03-14,48.0,,48.0,53.0,,,53.0,Mar
2026-03-16,58.0,110.0,168.0,30.0,50.0,0.0,80.0,Mar
2026-03-17,43.0,32.0,75.0,20.0,20.0,0.0,40.0,Mar
2026-03-18,63.0,35.0,98.0,25.0,20.0,0.0,45.0,Mar
2026-03-19,57.0,51.0,108.0,36.0,19.0,0.0,55.0,Mar
2026-03-20,0.0,30.0,30.0,0.0,55.0,0.0,55.0,Mar
2026-03-23,39.0,51.0,90.0,20.0,30.0,80.0,130.0,Mar
2026-03-24,47.0,10.0,57.0,20.0,5.0,0.0,25.0,Mar
2026-03-25,66.0,66.0,132.0,57.5,76.0,0.0,133.5,Mar
2026-03-26,77.0,62.0,139.0,51.0,23.0,0.0,74.0,Mar
2026-03-27,77.0,71.0,148.0,32.5,40.5,0.0,73.0,Mar
2026-03-30,22.0,38.0,60.0,31.0,35.0,0.0,66.0,Mar
2026-03-31,29.0,49.0,78.0,25.0,27.0,130.0,182.0,Mar
2026-04-01,25.0,37.0,62.0,12.0,10.5,215.0,237.5,Apr
2026-04-02,118.0,67.0,185.0,60.0,20.0,5.0,85.0,Apr
2026-04-03,123.0,24.0,147.0,73.0,15.0,145.0,233.0,Apr
2026-04-06,48.0,21.0,69.0,37.0,22.0,0.0,59.0,Apr
2026-04-07,77.0,12.0,89.0,48.5,28.0,50.0,126.5,Apr
2026-04-08,86.0,111.0,197.0,57.0,50.0,60.0,167.0,Apr
2026-04-09,90.0,0.0,90.0,45.0,132.0,0.0,177.0,Apr
2026-04-10,83.0,128.0,211.0,43.0,25.0,0.0,68.0,Apr
2026-04-15,,103.0,103.0,,89.0,,89.0,Apr
2026-04-16,89.0,69.0,158.0,37.0,36.0,27.0,100.0,Apr
2026-04-17,66.0,110.0,176.0,72.0,54.0,0.0,126.0,Apr
2026-04-20,136.0,114.0,250.0,57.0,56.0,0.0,113.0,Apr
2026-04-21,62.0,97.0,159.0,94.0,47.0,0.0,141.0,Apr
2026-04-22,78.0,92.0,170.0,30.0,47.0,0.0,77.0,Apr
2026-04-23,36.0,54.0,90.0,41.0,28.5,0.0,69.5,Apr
2026-04-24,37.0,64.0,101.0,53.0,44.0,0.0,97.0,Apr
