date,product,achievement_rate,reason,countermeasure,failure_category
2026-01-01,E5SP TOP,,,,no_issue
2026-01-02,E5SP TOP,1.03,No notable issues,,no_issue
2026-01-03,E5SP TOP,,,,no_issue
2026-01-04,E5SP TOP,,,,no_issue
2026-01-05,E5SP TOP,1.01,Tape release liner Y-axis fixture broken,Manual operation performed; normal operation resumed after repair,equipment_fault
2026-01-06,E5SP TOP,1.03,No notable issues,,no_issue
2026-01-07,E5SP TOP,0.93,SDI site visit: 4-hr manual tape application,On-site inspection completed; automation resumed normally,other
2026-01-08,E5SP TOP,1.03,No notable issues,,no_issue
2026-01-09,E5SP TOP,0.94,Night shift: injection equipment issue caused 220-min stoppage; insufficient molded parts → automation target not met,"Metering valve fault → valve disassembled, cleaned, and restarted",injection_machine
2026-01-10,E5SP TOP,,,,no_issue
2026-01-11,E5SP TOP,,,,no_issue
2026-01-12,E5SP TOP,0.84,"Equipment fault caused work delay – tape dislodgement, product feed belt abnormality",Equipment origin reset; temporary belt fix applied; restarted,quality_defect
2026-01-13,E5SP TOP,1.06,No notable issues,,no_issue
2026-01-14,E5SP TOP,1.0,Night shift: silicone release liner Y-axis error,Error resolved; restarted (170 min lost during repair),equipment_fault
2026-01-15,E5SP TOP,1.05,No notable issues,,no_issue
2026-01-16,E5SP TOP,0.69,Injection machine stopped due to mold return issue,Mold repaired; injection machine restarted at 13:00 (300 min lost); automation restarted at 16:00 after part cooling (520 min lost),injection_machine
2026-01-17,E5SP TOP,,,,no_issue
2026-01-18,E5SP TOP,,,,no_issue
2026-01-19,E5SP TOP,0.89,Injection machine controller main screen fault: 60 min lost; delayed machine start caused parts shortage: 200 min lost,Specialist contractor (Yudo) inspected fault; restarted,injection_machine
2026-01-20,E5SP TOP,0.98,Day shift: molded parts shortage caused 3-hr automation stoppage,,injection_machine
2026-01-21,E5SP TOP,0.7,3rd mold valve malfunction → equipment stopped; parts shortage caused 430-min automation stoppage,Switched to 2nd mold (injection machine stopped 250 min),injection_machine
2026-01-22,E5SP TOP,0.88,"After 2nd→3rd mold swap, 3rd mold valve fault triggered 3rd→2nd swap (150 min); parts shortage stoppage (170 min)",Normal operation after switching to 2nd mold,injection_machine
2026-01-23,E5SP TOP,0.75,2nd mold gate protrusion repaired; 2nd→3rd mold swap; parts shortage caused 220-min automation loss,Normal operation after switching to 3rd mold,injection_machine
2026-01-24,E5SP TOP,,"Injection molding: 1,095 pcs produced (stored without tape application)",Week 5 of January (26–30): automation equipment stock replenishment,injection_machine
2026-01-25,E5SP TOP,,,,no_issue
2026-01-26,E5SP TOP,1.1,No notable issues,,no_issue
2026-01-27,E5SP TOP,1.13,No notable issues,,no_issue
2026-01-28,E5SP TOP,1.15,No notable issues,,no_issue
2026-01-29,E5SP TOP,1.1,Injection ejector block broken; equipment stopped (23:47),Ejector unit vendor repair scheduled for Jan 30 (Fri),injection_machine
2026-01-30,E5SP TOP,0.78,Injection ejector repair: 210 min lost,Equipment repaired at 11:30; restarted,injection_machine
2026-01-31,E5SP TOP,,,,no_issue
2026-02-01,E5SP TOP (Automation),,,,no_issue
2026-02-02,E5SP TOP (Automation),0.88,Silicone peeling X-axis wire broken and misaligned: 530 min lost,Equipment repaired; normal operation resumed,equipment_fault
2026-02-03,E5SP TOP (Automation),1.13,No notable issues,,no_issue
2026-02-04,E5SP TOP (Automation),1.14,No notable issues,,no_issue
2026-02-05,E5SP TOP (Automation),1.11,No notable issues,,no_issue
2026-02-06,E5SP TOP (Automation),1.11,No notable issues,,no_issue
2026-02-07,E5SP TOP (Automation),,Injection only; tape application deferred to next weekday. Mold issue (#2: ejector pin broken) → switched to #3. Mold issue (#3: ejector pin broken) → equipment stopped,Weekend injection: 405 pcs completed. Mold repair on Monday; equipment restart scheduled,injection_machine
2026-02-08,E5SP TOP (Automation),,,,no_issue
2026-02-09,E5SP TOP (Automation),1.35,Exceeded target by processing previously unworked inventory,,other
2026-02-10,E5SP TOP (Automation),1.1,No notable issues,,no_issue
2026-02-11,E5SP TOP (Automation),1.11,No notable issues,,no_issue
2026-02-12,E5SP TOP (Automation),0.83,Gate protrusion mold repaired; equipment restarted at 09:00; work started at 13:00 after part cooling: 300 min lost,Unused 1st mold hot runner replaced for production; 3rd mold hot runner inspected/repaired,injection_machine
2026-02-13,E5SP TOP (Automation),1.06,No notable issues,,no_issue
2026-02-14,E5SP TOP (Automation),0.69,PET rotation left/right vacuum anomaly alarm,Origin reset and power cycle performed; restarted,equipment_fault
2026-02-15,E5SP TOP (Automation),,,,no_issue
2026-02-16,E5SP TOP (Automation),,,,no_issue
2026-02-17,E5SP TOP (Automation),,,,no_issue
2026-02-18,E5SP TOP (Automation),,,,no_issue
2026-02-19,E5SP TOP (Automation),1.05,No notable issues,,no_issue
2026-02-20,E5SP TOP (Automation),1.11,No notable issues,,no_issue
2026-02-21,E5SP TOP (Automation),1.18,No notable issues,,no_issue
2026-02-22,E5SP TOP (Automation),,,,no_issue
2026-02-23,E5SP TOP (Automation),1.1,No notable issues,,no_issue
2026-02-24,E5SP TOP (Automation),1.14,No notable issues,,no_issue
2026-02-25,E5SP TOP (Automation),1.13,No notable issues,,no_issue
2026-02-26,E5SP TOP (Automation),1.13,No notable issues,,no_issue
2026-02-27,E5SP TOP (Automation),1.09,No notable issues,,no_issue
2026-02-28,E5SP TOP (Automation),,,,no_issue
2026-03-01,E5SP TOP (Automation),,,,no_issue
2026-03-02,E5SP TOP (Automation),,,,no_issue
2026-03-03,E5SP TOP (Automation),0.96,Silicone shot section Y-axis and Z-axis failure,Equipment repaired and restarted,equipment_fault
2026-03-04,E5SP TOP (Automation),1.06,No notable issues,,no_issue
2026-03-05,E5SP TOP (Automation),1.09,No notable issues,,no_issue
2026-03-06,E5SP TOP (Automation),1.13,No notable issues,,no_issue
2026-03-07,E5SP TOP (Automation),,,,no_issue
2026-03-08,E5SP TOP (Automation),,,,no_issue
2026-03-09,E5SP TOP (Automation),1.1375,No notable issues,,no_issue
2026-03-10,E5SP TOP (Automation),1.18,No notable issues,,no_issue
2026-03-11,E5SP TOP (Automation),1.13,No notable issues,,no_issue
2026-03-12,E5SP TOP (Automation),1.13,No notable issues,,no_issue
2026-03-13,E5SP TOP (Automation),1.01,No notable issues,,no_issue
2026-03-14,E5SP TOP (Automation),1.1,No notable issues,,no_issue
2026-03-15,E5SP TOP (Automation),,,,no_issue
2026-03-16,E5SP TOP (Automation),1.13,No notable issues,,no_issue
2026-03-17,E5SP TOP (Automation),1.15,No notable issues,,no_issue
2026-03-18,E5SP TOP (Automation),1.16,No notable issues,,no_issue
