n_jobs,n_days,daily_capacity_min,regular_shift_min,max_overtime_per_day_min,mu_scale,sigma_scale,k,mu_A_mean,mu_B_mean,sigma_A_mean,sigma_B_mean,mu_total_mean,mu_total_min,mu_total_max,sigma_total_mean,sigma_total_min,sigma_total_max,k_buffer_mean,k_buffer_min,k_buffer_max,p_robust_mean,p_robust_min,p_robust_max,total_nominal_load,total_robust_load,avg_nominal_load_per_day,avg_robust_load_per_day,daily_nominal_utilization_ratio,daily_robust_utilization_ratio,gurobi_status,gurobi_status_name,solve_time_sec,has_solution,accepted_for_simulation,objective_value,mip_gap,planned_total_ot,n_days_with_planned_ot,planned_max_day_load,planned_avg_day_load,prob_cleared_within_horizon,prob_terminal_backlog,avg_terminal_backlog,avg_max_backlog,avg_total_overtime,max_total_overtime,meets_95_constraint,system_ok
20,20,480,480,120,1.0,1.0,0.5,88.48761663447533,60.722991971131705,13.483254346418736,17.817355462528116,149.21060860560704,126.07435682554384,178.62560657988303,22.34975747604561,18.234086538477356,27.432756395151625,11.174878738022805,9.117043269238678,13.716378197575812,160.38548734362985,135.52257662156373,192.07226317175767,2984.2121721121403,3207.7097468725965,149.210608605607,160.38548734362982,0.3108554345950146,0.33413643196589543,2,OPTIMAL,0.004323482513427734,True,True,0.0,0.0,0.0,0,335.8512723510786,160.38548734362985,1.0,0.0,0.0,0.0,0.0,0.0,True,True
20,20,480,480,120,1.0,1.0,1.0,88.01337299523681,60.338037559438746,13.545235640432967,17.516712045875877,148.35141055467557,120.70564455556504,182.77809582569324,22.14647831236411,18.043339442357414,27.124973373510986,22.14647831236411,18.043339442357414,27.124973373510986,170.49788886703965,139.14620538950183,209.90306919920423,2967.028211093512,3409.9577773407927,148.3514105546756,170.49788886703965,0.3090654386555742,0.3552039351396659,2,OPTIMAL,0.0009982585906982422,True,True,0.0,0.0,0.0,0,360.25698770408735,170.49788886703965,1.0,0.0,0.0,0.0,0.0,0.0,True,True
20,20,480,480,120,1.0,1.0,1.5,88.32771220400056,61.40435425432064,13.310148060943032,17.617008401533898,149.73206645832119,126.14287042797048,184.284742186294,22.083217989017356,18.087838220531502,26.666563916625996,33.124826983526034,27.131757330797253,39.999845874939,182.85689344184723,154.62403145615696,224.28458806123302,2994.641329166424,3657.137868836945,149.73206645832119,182.85689344184726,0.3119418051215025,0.3809518613371818,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,381.8161796370667,182.85689344184723,1.0,0.0,0.0,0.0,0.0,0.0,True,True
20,20,480,480,120,1.0,1.0,2.0,89.28309281793832,59.64267874339935,13.393280041711794,17.72870491441055,148.92577156133768,124.11901300767431,180.9170218767692,22.22159432337698,18.06713186185124,26.92094343449223,44.44318864675396,36.13426372370248,53.84188686898446,193.36896020809164,160.2532767313768,234.75890874575367,2978.515431226754,3867.379204161832,148.9257715613377,193.3689602080916,0.31026202408612025,0.4028520004335242,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,410.0697130786916,193.36896020809164,1.0,0.0,0.0,0.0,0.0,0.0,True,True
50,20,480,480,120,1.0,1.0,0.5,89.04891277216385,60.41192720385298,13.485269845833095,17.758848448125356,149.4608399760168,124.18679978752961,180.88203120065864,22.3051787382325,17.819670329100795,28.515697977011502,11.15258936911625,8.909835164550397,14.257848988505751,160.61342934513306,133.45028255299613,195.04661104743175,7473.041998800841,8030.671467256654,373.65209994004204,401.5335733628327,0.7784418748750875,0.8365282778392349,2,OPTIMAL,0.01755499839782715,True,True,0.0,0.0,0.0,0,479.63762512740675,401.53357336283267,1.0,0.0,0.0,0.0,23.226677760779662,149.36149893145546,True,True
50,20,480,480,120,1.0,1.0,1.0,88.4025821367226,60.46119208039829,13.491183077328602,17.711885016362498,148.8637742171209,121.5832542397682,181.82122680323943,22.270841084058066,17.766110861635052,27.771500146959674,22.270841084058066,17.766110861635052,27.771500146959674,171.13461530117897,140.06484125400058,209.06483130017438,7443.188710856043,8556.730765058948,372.15943554280216,427.83653825294743,0.7753321573808378,0.8913261213603072,2,OPTIMAL,0.1289210319519043,True,True,0.0,0.0,0.0,0,479.7443558087375,427.8365382529474,1.0,0.0,0.0,0.0,5.292774801477978,64.7459111766907,True,True
50,20,480,480,120,1.0,1.0,1.5,88.40564811624598,60.44571193053598,13.483501224898157,17.787925822049377,148.85136004678196,122.3373076341927,180.444291913504,22.32481052210303,18.419974600734783,28.713688042093878,33.48721578315455,27.629961901102174,43.07053206314082,182.3385758299365,150.20482146708156,223.51482397664483,7442.568002339099,9116.928791496828,372.12840011695494,455.8464395748414,0.7752675002436561,0.9496800824475862,9,TIME_LIMIT,900.0245995521545,True,False,2110.448157812263,0.0009339650180440701,242.08967219474252,5,537.8762597953013,455.84643957484127,,,,,,,,False
50,20,480,480,120,1.0,1.0,2.0,88.6429938509171,60.39640195166614,13.3935500738037,17.799299029428873,149.03939580258324,124.83304833769427,182.1149317275345,22.28039228646594,17.83581493004222,27.39842538118716,44.56078457293188,35.67162986008444,54.79685076237432,193.60018037551512,160.5046781977787,236.62878567912406,7451.969790129161,9680.009018775754,372.59848950645807,484.0004509387877,0.7762468531384543,1.0083342727891411,2,OPTIMAL,9.305126905441284,True,True,4621.085874412965,0.0,564.2172722244077,10,561.8088414108649,484.00045093878776,1.0,0.0,0.0,0.0,6.468513860710622,104.65556947501909,True,True
80,20,480,480,120,1.0,1.0,0.5,89.18262816976375,60.60253729261275,13.468879870791152,17.845592972990058,149.7851654623765,122.431511597266,183.95745393501016,22.363641130712736,17.987416890272723,28.703282341306302,11.181820565356368,8.993708445136361,14.351641170653151,160.96698602773287,131.8014454041769,197.3232605806631,11982.813236990121,12877.358882218627,599.140661849506,643.8679441109314,1.248209712186471,1.3413915502311071,9,TIME_LIMIT,900.0121049880981,True,False,16754.883070812924,0.00048276431924884644,3278.976614162585,2,2436.7537472365752,643.8679441109315,,,,,,,,False
80,20,480,480,120,1.0,1.0,1.0,88.84608020683825,60.531128743947356,13.463684523587661,17.76868063815298,149.37720895078562,122.13866501625249,185.42297634636836,22.29906538711886,18.018725932224353,28.18001780664948,22.29906538711886,18.018725932224353,28.18001780664948,171.67627433790446,140.15739094847683,213.60299415301785,11950.17671606285,13734.101947032357,597.5088358031425,686.7050973516178,1.24481007458988,1.4306356194825371,9,TIME_LIMIT,900.0110833644867,True,False,21222.54820759765,0.0005672491502011537,4136.50964151953,3,2284.2229959571614,686.7050973516178,,,,,,,,False
