n_jobs,weekday_days,weekend_extension_days,maintenance_duration,mu_scale,sigma_scale,k,job_abstraction,ct_proxy_whole_line_takt_min_per_unit,approx_units_per_model_job,shifts_per_day,daily_capacity_min,mean_uptime_between_stops,mean_stop_duration,stop_duration_cv,gurobi_status,solve_time_sec,solve_wall_time_sec,accepted_for_simulation,objective_value,planned_total_ot,n_days_with_planned_ot,mu_A_mean,mu_B_mean,sigma_A_mean,sigma_B_mean,mu_total_mean,mu_total_min,mu_total_max,sigma_total_mean,sigma_total_min,sigma_total_max,k_buffer_mean,k_buffer_min,k_buffer_max,p_robust_mean,p_robust_min,p_robust_max,total_nominal_load,total_robust_load,avg_nominal_load_per_day,avg_robust_load_per_day,daily_nominal_utilization_ratio,daily_robust_utilization_ratio,prob_cleared_within_weekdays,prob_cleared_within_extended_horizon,prob_terminal_backlog_after_extension,avg_terminal_backlog_after_extension,avg_max_backlog,avg_n_spillover_days,prob_any_spillover,avg_first_spillover_day,avg_n_weekend_days_used,prob_any_weekend_use,avg_weekend_used_time,avg_total_weekend_cost,avg_final_completion_day,system_ok
75,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.0543668270111084,0.15371465682983398,True,0.0,0.0,0,90.62863638649256,60.225556511780525,14.409309309353814,9.484330123810064,150.85419289827308,138.21134642062276,167.57992473573003,17.304458101855506,12.037673680533384,21.11127089203247,8.652229050927753,6.018836840266692,10.555635446016234,159.50642194920084,146.17395778574692,176.13716833249273,11314.06446737048,11962.981646190065,565.7032233685239,598.1490823095032,0.5892741910088791,0.6230719607390659,0.0,1.0,0.0,0.0,5.08,9.03,1.0,1.34,1.0,1.0,424.86653220364934,3698.9322576291947,21.0,True
75,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00011515617370605469,0.0049321651458740234,True,0.0,0.0,0,90.62863638649256,60.225556511780525,14.409309309353814,9.484330123810064,150.85419289827308,138.21134642062276,167.57992473573003,17.304458101855506,12.037673680533384,21.11127089203247,17.304458101855506,12.037673680533384,21.11127089203247,168.1586510001286,153.31629468121972,184.69441192925544,11314.06446737048,12611.898825009646,565.7032233685239,630.5949412504823,0.5892741910088791,0.6568697304692523,0.17,1.0,0.0,0.0,6.53,12.95,1.0,2.31,0.83,0.83,190.19660542433525,1770.572843394682,20.83,True
75,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00011897087097167969,0.004739046096801758,True,0.0,0.0,0,90.62863638649256,60.225556511780525,14.409309309353814,9.484330123810064,150.85419289827308,138.21134642062276,167.57992473573003,17.304458101855506,12.037673680533384,21.11127089203247,25.956687152783257,18.056510520800074,31.666906338048705,176.81088005105633,160.45863157669254,194.0919507990953,11314.06446737048,13260.816003829224,565.7032233685239,663.0408001914612,0.5892741910088791,0.6906675001994388,0.21,1.0,0.0,0.0,6.53,13.05,1.0,2.31,0.79,0.79,184.87088667910103,1715.9670934328083,20.79,True
85,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.007904052734375,0.013133049011230469,True,0.0,0.0,0,90.59510538376725,60.21009313029953,14.4353700210875,9.481894948059262,150.80519851406677,138.21134642062276,169.02174923268495,17.328384685633765,12.037673680533384,22.880943719559852,8.664192342816882,6.018836840266692,11.440471859779926,159.46939085688365,146.17395778574692,178.40848487263673,12818.441873695674,13554.898222835114,640.9220936847837,677.7449111417557,0.6676271809216497,0.7059842824393289,0.0,1.0,0.0,0.0,6.83,16.38,1.0,1.54,1.02,1.0,399.9682287832164,3505.745830265731,21.02,True
85,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.0001308917999267578,0.005278825759887695,True,0.0,0.0,0,90.59510538376725,60.21009313029953,14.4353700210875,9.481894948059262,150.80519851406677,138.21134642062276,169.02174923268495,17.328384685633765,12.037673680533384,22.880943719559852,17.328384685633765,12.037673680533384,22.880943719559852,168.13358319970055,153.31629468121972,187.79522051258851,12818.441873695674,14291.354571974549,640.9220936847837,714.5677285987274,0.6676271809216497,0.7443413839570077,0.0,1.0,0.0,0.0,7.7,18.38,1.0,2.31,1.38,1.0,680.0381152900635,5854.304922320508,21.38,True
85,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00012302398681640625,0.005329132080078125,True,0.0,0.0,0,90.59510538376725,60.21009313029953,14.4353700210875,9.481894948059262,150.80519851406677,138.21134642062276,169.02174923268495,17.328384685633765,12.037673680533384,22.880943719559852,25.992577028450647,18.056510520800074,34.32141557933978,176.79777554251743,160.45863157669254,197.18195615254027,12818.441873695674,15027.81092111398,640.9220936847837,751.390546055699,0.6676271809216497,0.7826984854746865,0.0,1.0,0.0,0.0,7.67,18.52,1.0,2.31,1.41,1.0,712.819646321029,6125.557170568232,21.41,True
95,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.0050852298736572266,0.010867118835449219,True,0.0,0.0,0,90.36616545225597,60.22725416163517,14.305589928841002,9.48459746997652,150.59341961389114,138.2062408707232,169.02174923268495,17.219703700326832,12.037673680533384,22.880943719559852,8.609851850163416,6.018836840266692,11.440471859779926,159.20327146405455,146.17395778574692,178.40848487263673,14306.374863319656,15124.310789085186,715.3187431659828,756.2155394542593,0.7451236907978988,0.7877245202648535,0.0,1.0,0.0,0.0,12.6,20.19,1.0,1.25,2.81,1.0,1734.385226134459,14718.081809075671,22.81,True
95,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00013709068298339844,0.005858182907104492,True,0.0,0.0,0,90.36616545225597,60.22725416163517,14.305589928841002,9.48459746997652,150.59341961389114,138.2062408707232,169.02174923268495,17.219703700326832,12.037673680533384,22.880943719559852,17.219703700326832,12.037673680533384,22.880943719559852,167.81312331421796,153.31629468121972,187.79522051258851,14306.374863319656,15942.246714850711,715.3187431659828,797.1123357425356,0.7451236907978988,0.8303253497318079,0.0,1.0,0.0,0.0,12.53,20.36,1.0,2.36,2.91,1.0,1759.6494274152415,14950.195419321932,22.91,True
95,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00013494491577148438,0.005830287933349609,True,0.0,0.0,0,90.36616545225597,60.22725416163517,14.305589928841002,9.48459746997652,150.59341961389114,138.2062408707232,169.02174923268495,17.219703700326832,12.037673680533384,22.880943719559852,25.829555550490248,18.056510520800074,34.32141557933978,176.4229751643814,160.45863157669254,197.18195615254027,14306.374863319656,16760.18264061623,715.3187431659828,838.0091320308114,0.7451236907978988,0.8729261791987619,0.0,1.0,0.0,0.0,12.74,20.41,1.0,2.36,2.96,1.0,1788.352931538683,15194.823452309463,22.96,True
100,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.0051250457763671875,0.011245250701904297,True,0.0,0.0,0,90.31618711333893,60.250589899835035,14.32193784540211,9.488272385703153,150.56677701317398,138.2062408707232,169.02174923268495,17.233493413806155,12.037673680533384,22.880943719559852,8.616746706903077,6.018836840266692,11.440471859779926,159.18352372007703,146.17395778574692,178.40848487263673,15056.677701317392,15918.352372007706,752.8338850658696,795.9176186003854,0.7842019636102808,0.8290808527087348,0.0,1.0,0.0,0.0,17.42,21.72,1.0,1.25,3.78,1.0,2492.2948634475565,21072.358907580452,23.78,True
100,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.00015115737915039062,0.006172657012939453,True,0.0,0.0,0,90.31618711333893,60.250589899835035,14.32193784540211,9.488272385703153,150.56677701317398,138.2062408707232,169.02174923268495,17.233493413806155,12.037673680533384,22.880943719559852,17.233493413806155,12.037673680533384,22.880943719559852,167.80027042698012,153.31629468121972,187.79522051258851,15056.677701317392,16780.027042698013,752.8338850658696,839.0013521349007,0.7842019636102808,0.8739597418071882,0.0,1.0,0.0,0.0,16.69,21.7,1.0,2.15,3.85,1.0,2452.823576480889,20777.588611847113,23.85,True
100,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.0001418590545654297,0.006165504455566406,True,0.0,0.0,0,90.31618711333893,60.250589899835035,14.32193784540211,9.488272385703153,150.56677701317398,138.2062408707232,169.02174923268495,17.233493413806155,12.037673680533384,22.880943719559852,25.850240120709234,18.056510520800074,34.32141557933978,176.4170171338832,160.45863157669254,197.18195615254027,15056.677701317392,17641.701713388316,752.8338850658696,882.0850856694158,0.7842019636102808,0.9188386309056414,0.0,1.0,0.0,0.0,16.66,21.66,1.0,2.15,3.81,1.0,2447.880831807147,20726.046654457175,23.81,True
105,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.005582094192504883,0.019855976104736328,True,0.0,0.0,0,90.14266688458714,60.36327688737923,14.337829439713007,9.506018350247587,150.50594377196637,138.2062408707232,169.02174923268495,17.254733396148378,12.037673680533384,22.880943719559852,8.627366698074189,6.018836840266692,11.440471859779926,159.13331047004056,146.17395778574692,178.40848487263673,15803.124096056465,16708.99759935426,790.1562048028233,835.4498799677131,0.8230793800029409,0.8702602916330344,0.0,1.0,0.0,0.0,21.82,23.8,1.0,1.07,4.87,1.0,3259.832815556938,27539.662524455503,24.87,True
105,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.2936689853668213,0.3108654022216797,True,0.0,0.0,0,90.14266688458714,60.36327688737923,14.337829439713007,9.506018350247587,150.50594377196637,138.2062408707232,169.02174923268495,17.254733396148378,12.037673680533384,22.880943719559852,17.254733396148378,12.037673680533384,22.880943719559852,167.76067716811474,153.31629468121972,187.79522051258851,15803.124096056465,17614.87110265205,790.1562048028233,880.7435551326025,0.8230793800029409,0.9174412032631276,0.0,1.0,0.0,0.0,21.75,23.71,1.0,1.15,4.86,1.0,3211.67119492247,27151.36955937976,24.86,True
105,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,12.898290872573853,12.926225662231445,True,1866.7281874689684,193.3456374937937,5,90.14266688458714,60.36327688737923,14.337829439713007,9.506018350247587,150.50594377196637,138.2062408707232,169.02174923268495,17.254733396148378,12.037673680533384,22.880943719559852,25.88210009422257,18.056510520800074,34.32141557933978,176.38804386618895,160.45863157669254,197.18195615254027,15803.124096056465,18520.744605949836,790.1562048028233,926.0372302974918,0.8230793800029409,0.9646221148932206,0.0,1.0,0.0,0.0,23.25,23.71,1.0,1.18,4.9,1.0,3438.5919836271823,28978.73586901746,24.9,True
110,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,0.006620883941650391,0.013776540756225586,True,0.0,0.0,0,90.18145573404394,60.4563840987301,14.27933145643849,9.520680888553667,150.63783983277403,131.97349322372438,169.02174923268495,17.2178046479452,12.037673680533384,22.880943719559852,8.6089023239726,6.018836840266692,11.440471859779926,159.24674215674665,140.84100139014993,178.40848487263673,16570.16238160514,17517.141637242134,828.508119080257,875.8570818621067,0.863029290708601,0.9123511269396946,0.0,1.0,0.0,0.0,26.93,25.1,1.0,1.01,6.11,1.0,4136.324987329158,34923.59989863326,26.11,True
110,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,9,7200.019729137421,7315.314413547516,False,1044.5188191428788,100.90376382857579,3,90.18145573404394,60.4563840987301,14.27933145643849,9.520680888553667,150.63783983277403,131.97349322372438,169.02174923268495,17.2178046479452,12.037673680533384,22.880943719559852,17.2178046479452,12.037673680533384,22.880943719559852,167.85564448071923,149.70850955657548,188.05527473933728,16570.16238160514,18464.120892879113,828.508119080257,923.2060446439557,0.863029290708601,0.9616729631707872,,,,,,,,,,,,,,False
110,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,0.78,192,2,960.0,9.21,0.55,1.0,2,222.31934595108032,223.2722930908203,True,4800.6752366211485,600.1350473242298,10,90.18145573404394,60.4563840987301,14.27933145643849,9.520680888553667,150.63783983277403,131.97349322372438,169.02174923268495,17.2178046479452,12.037673680533384,22.880943719559852,25.8267069719178,18.056510520800074,34.32141557933978,176.46454680469185,158.57601772300103,198.4214171446618,16570.16238160514,19411.1001485161,828.508119080257,970.555007425805,0.863029290708601,1.0109947994018802,0.0,1.0,0.0,0.0,26.59,24.67,1.0,1.09,5.76,1.0,3965.1259224291716,33449.00737943337,25.76,True
