n_jobs,weekday_days,weekend_extension_days,maintenance_duration,mu_scale,sigma_scale,k,job_abstraction,ct_proxy_min_per_unit_median,approx_units_per_model_job,mean_uptime_between_stops,mean_stop_duration,stop_duration_cv,gurobi_status,solve_time_sec,solve_wall_time_sec,accepted_for_simulation,objective_value,planned_total_ot,n_days_with_planned_ot,mu_A_mean,mu_B_mean,sigma_A_mean,sigma_B_mean,mu_total_mean,mu_total_min,mu_total_max,sigma_total_mean,sigma_total_min,sigma_total_max,k_buffer_mean,k_buffer_min,k_buffer_max,p_robust_mean,p_robust_min,p_robust_max,total_nominal_load,total_robust_load,avg_nominal_load_per_day,avg_robust_load_per_day,daily_nominal_utilization_ratio,daily_robust_utilization_ratio,prob_cleared_within_weekdays,prob_cleared_within_extended_horizon,prob_terminal_backlog_after_extension,avg_terminal_backlog_after_extension,avg_max_backlog,avg_n_spillover_days,prob_any_spillover,avg_first_spillover_day,avg_n_weekend_days_used,prob_any_weekend_use,avg_weekend_used_time,avg_total_weekend_cost,avg_final_completion_day,system_ok
30,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,0.003000020980834961,0.034760475158691406,True,0.0,0.0,0,90.28202457496796,59.656263031099556,14.07725247135431,9.394677696819953,149.93828760606752,139.0316208902741,161.0595633422571,16.971241408870657,12.037673680533384,21.11127089203247,8.485620704435329,6.018836840266692,10.555635446016234,158.42390831050284,146.17395778574692,170.31379738292264,4498.148628182024,4752.717249315086,224.9074314091012,237.6358624657543,0.4685571487689609,0.49507471347032145,1.0,1.0,0.0,0.0,2.76,9.16,1.0,4.05,0.0,0.0,0.0,0.0,20.0,True
30,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,0.0,0.003322601318359375,True,0.0,0.0,0,90.28202457496796,59.656263031099556,14.07725247135431,9.394677696819953,149.93828760606752,139.0316208902741,161.0595633422571,16.971241408870657,12.037673680533384,21.11127089203247,16.971241408870657,12.037673680533384,21.11127089203247,166.90952901493816,153.31629468121972,179.5680314235882,4498.148628182024,5007.285870448144,224.9074314091012,250.3642935224072,0.4685571487689609,0.5215922781716816,1.0,1.0,0.0,0.0,1.0,7.46,1.0,4.0,0.0,0.0,0.0,0.0,20.0,True
30,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,0.0,0.003156900405883789,True,0.0,0.0,0,90.28202457496796,59.656263031099556,14.07725247135431,9.394677696819953,149.93828760606752,139.0316208902741,161.0595633422571,16.971241408870657,12.037673680533384,21.11127089203247,25.456862113305984,18.056510520800074,31.666906338048705,175.3951497193735,160.45863157669254,188.9125969638901,4498.148628182024,5261.854491581205,224.9074314091012,263.09272457906025,0.4685571487689609,0.5481098428730422,1.0,1.0,0.0,0.0,1.0,7.44,1.0,4.0,0.0,0.0,0.0,0.0,20.0,True
40,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,0.0,0.004389047622680664,True,0.0,0.0,0,90.51298486007474,59.94596593557798,14.209054308600262,9.440300155839697,150.45895079565273,139.0316208902741,162.62179864007675,17.098339892217535,12.037673680533384,21.11127089203247,8.549169946108767,6.018836840266692,10.555635446016234,159.0081207417615,146.17395778574692,171.81849101505478,6018.358031826107,6360.32482967046,300.9179015913054,318.016241483523,0.6269122949818863,0.6625338364240062,0.56,1.0,0.0,0.0,3.46,14.69,1.0,2.97,0.5,0.44,119.28054753724916,1104.2443802979933,20.5,True
40,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,0.0,0.003305673599243164,True,0.0,0.0,0,90.51298486007474,59.94596593557798,14.209054308600262,9.440300155839697,150.45895079565273,139.0316208902741,162.62179864007675,17.098339892217535,12.037673680533384,21.11127089203247,17.098339892217535,12.037673680533384,21.11127089203247,167.55729068787025,153.31629468121972,181.0151833900328,6018.358031826107,6702.291627514809,300.9179015913054,335.11458137574044,0.6269122949818863,0.6981553778661259,0.0,1.0,0.0,0.0,1.87,12.54,1.0,4.05,1.09,1.0,253.9663775338931,2358.7310202711446,21.09,True
40,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,0.0,0.004239559173583984,True,0.0,0.0,0,90.51298486007474,59.94596593557798,14.209054308600262,9.440300155839697,150.45895079565273,139.0316208902741,162.62179864007675,17.098339892217535,12.037673680533384,21.11127089203247,25.6475098383263,18.056510520800074,31.666906338048705,176.10646063397903,160.45863157669254,190.21187576501083,6018.358031826107,7044.258425359162,300.9179015913054,352.2129212679581,0.6269122949818863,0.7337769193082461,0.0,1.0,0.0,0.0,1.88,12.58,1.0,4.05,1.09,1.0,253.97734165109495,2358.8187332087596,21.09,True
50,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,0.04400014877319336,0.05013012886047363,True,0.0,0.0,0,90.58395681461919,59.90911611519554,14.312923959213133,9.434497040322752,150.49307292981473,139.0316208902741,165.10479136874167,17.1844707246598,12.037673680533384,21.11127089203247,8.5922353623299,6.018836840266692,10.555635446016234,159.08530829214462,146.17395778574692,174.7671778455262,7524.653646490734,7954.265414607231,376.2326823245367,397.71327073036156,0.7838180881761182,0.8285693140215866,0.0,1.0,0.0,0.0,10.28,23.02,1.0,1.75,5.06,1.0,1706.4383687481134,15169.506949984907,25.06,True
50,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,9,120.0789999961853,120.24922037124634,False,1366.8796570739346,93.37593141478692,5,90.58395681461919,59.90911611519554,14.312923959213133,9.434497040322752,150.49307292981473,139.0316208902741,165.10479136874167,17.1844707246598,12.037673680533384,21.11127089203247,17.1844707246598,12.037673680533384,21.11127089203247,167.67754365447453,153.31629468121972,184.42956432231074,7524.653646490734,8383.877182723725,376.2326823245367,419.19385913618623,0.7838180881761182,0.8733205398670546,,,,,,,,,,,,,,False
50,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,5.51800012588501,5.561978340148926,True,3507.036666023372,341.4073332046745,10,90.58395681461919,59.90911611519554,14.312923959213133,9.434497040322752,150.49307292981473,139.0316208902741,165.10479136874167,17.1844707246598,12.037673680533384,21.11127089203247,25.776706086989698,18.056510520800074,31.666906338048705,176.26977901680442,160.45863157669254,194.0919507990953,7524.653646490734,8813.488950840221,376.2326823245367,440.6744475420111,0.7838180881761182,0.9180717657125231,0.0,1.0,0.0,0.0,10.15,23.0,1.0,1.5,4.54,1.0,1642.9193397984563,14505.35471838765,24.54,True
60,20,8,120.0,1.0,1.0,0.5,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,0.4660000801086426,0.4882967472076416,True,0.0,0.0,0,90.72055036407323,60.11883543917751,14.416853726753253,9.467523672490081,150.83938580325074,138.28999949237078,165.10479136874167,17.28776107340199,12.037673680533384,21.11127089203247,8.643880536700996,6.018836840266692,10.555635446016234,159.48326633995174,146.17395778574692,174.7671778455262,9050.363148195042,9568.995980397105,452.51815740975206,478.4497990198553,0.9427461612703169,0.9967704146246985,0.0,0.05,0.95,3.6,20.87,27.8,1.0,1.15,8.0,1.0,2857.318142673841,25258.54514139073,28.0,False
60,20,8,120.0,1.0,1.0,1.0,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,9,120.04700016975403,120.20440483093262,False,4961.8612663641115,488.3723253721904,14,90.72055036407323,60.11883543917751,14.416853726753253,9.467523672490081,150.83938580325074,138.28999949237078,165.10479136874167,17.28776107340199,12.037673680533384,21.11127089203247,17.28776107340199,12.037673680533384,21.11127089203247,168.12714687665274,153.31629468121972,184.42956432231074,9050.363148195042,10087.628812599165,452.51815740975206,504.38144062995826,0.9427461612703169,1.0507946679790796,,,,,,,,,,,,,,False
60,20,8,120.0,1.0,1.0,1.5,batch_level_workload_not_one_physical_unit,2.34,64,9.21,0.55,1.0,2,2.006999969482422,2.0194289684295654,True,8631.307574855662,1006.2616448012067,20,90.72055036407323,60.11883543917751,14.416853726753253,9.467523672490081,150.83938580325074,138.28999949237078,165.10479136874167,17.28776107340199,12.037673680533384,21.11127089203247,25.93164161010299,18.056510520800074,31.666906338048705,176.77102741335372,160.45863157669254,194.0919507990953,9050.363148195042,10606.261644801223,452.51815740975206,530.3130822400611,0.9427461612703169,1.1048189213334607,0.0,0.16,0.84,2.67,19.52,27.62,1.0,1.22,8.0,1.0,2822.2951402093295,24978.361121674636,28.0,False
