n_jobs,n_days,daily_capacity_min,regular_shift_min,max_overtime_per_day_min,mu_scale,sigma_scale,k,mu_A_mean,mu_B_mean,sigma_A_mean,sigma_B_mean,mu_total_mean,mu_total_min,mu_total_max,sigma_total_mean,sigma_total_min,sigma_total_max,k_buffer_mean,k_buffer_min,k_buffer_max,p_robust_mean,p_robust_min,p_robust_max,total_nominal_load,total_robust_load,avg_nominal_load_per_day,avg_robust_load_per_day,daily_nominal_utilization_ratio,daily_robust_utilization_ratio,gurobi_status,gurobi_status_name,solve_time_sec,has_solution,accepted_for_simulation,objective_value,mip_gap,planned_total_ot,n_days_with_planned_ot,planned_max_day_load,planned_avg_day_load,prob_cleared_within_horizon,prob_terminal_backlog,avg_terminal_backlog,avg_max_backlog,avg_total_overtime,max_total_overtime,meets_95_constraint,system_ok
20,20,480,480,120,1.0,1.0,1.0,88.48761663447533,60.722991971131705,13.483254346418736,17.817355462528116,149.21060860560704,126.07435682554384,178.62560657988303,22.34975747604561,18.234086538477356,27.432756395151625,22.34975747604561,18.234086538477356,27.432756395151625,171.56036608165263,144.9707964175836,205.5189197636323,2984.2121721121403,3431.2073216330537,149.210608605607,171.5603660816527,0.3108554345950146,0.35741742933677645,2,OPTIMAL,0.0010006427764892578,True,True,0.0,0.0,0.0,0,359.88245717873735,171.56036608165263,1.0,0.0,0.0,0.0,0.0,0.0,True,True
20,20,480,480,120,1.0,1.2,1.0,88.01337299523681,60.338037559438746,16.25428276851956,21.02005445505105,148.35141055467557,120.70564455556504,182.77809582569324,26.575773974836927,21.652007330828898,32.54996804821318,26.575773974836927,21.652007330828898,32.54996804821318,174.9271845295125,142.8343175562892,215.32806387390642,2967.028211093512,3498.5436905902493,148.3514105546756,174.92718452951246,0.3090654386555742,0.3644316344364843,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,369.55842850192823,174.9271845295125,1.0,0.0,0.0,0.0,0.0,0.0,True,True
20,20,480,480,120,1.2,1.0,1.0,105.99325464480066,73.68522510518476,13.310148060943032,17.617008401533898,179.67847974998543,151.37144451356454,221.1416906235528,22.083217989017356,18.087838220531502,26.666563916625996,22.083217989017356,18.087838220531502,26.666563916625996,201.76169773900278,170.35888519902218,247.80825454017878,3593.5695949997094,4035.2339547800557,179.67847974998546,201.76169773900278,0.37433016614580306,0.42033687028958916,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,420.2485685497827,201.76169773900278,1.0,0.0,0.0,0.0,0.0,0.0,True,True
20,20,480,480,120,1.2,1.2,1.0,107.13971138152598,71.57121449207922,16.071936050054152,21.274445897292658,178.7109258736052,148.9428156092092,217.10042625212304,26.665913188052375,21.680558234221486,32.30513212139067,26.665913188052375,21.680558234221486,32.30513212139067,205.37683906165756,170.62337384343067,249.4055583735137,3574.2185174721035,4107.536781233151,178.71092587360516,205.37683906165753,0.3723144289033441,0.42786841471178655,2,OPTIMAL,0.0009996891021728516,True,True,0.0,0.0,0.0,0,435.446633336187,205.37683906165756,1.0,0.0,0.0,0.0,0.04860708506344679,13.861300137236583,True,True
20,20,480,480,120,1.4,1.0,1.0,124.20962235794677,84.85342547036788,13.620195652863872,17.71940991345366,209.06304782831464,178.00345363901567,251.26891377461203,22.356311785635604,18.72821919932734,27.629059994857347,22.356311785635604,18.72821919932734,27.629059994857347,231.41935961395026,196.75166032626834,278.8979737694694,4181.260956566294,4628.387192279006,209.06304782831472,231.4193596139503,0.435548016308989,0.48212366586239647,2,OPTIMAL,0.0010004043579101562,True,True,0.0,0.0,0.0,0,472.8092149398543,231.41935961395026,1.0,0.0,0.0,0.0,0.9548770176460392,54.87240571182065,True,True
20,20,480,480,120,1.4,1.2,1.0,123.99390410318304,84.63210926549401,16.22652680151452,21.147633502427894,208.62601336867706,170.2165559356755,245.17621827688532,26.661938534502625,21.953620531006138,33.325800176351606,26.661938534502625,21.953620531006138,33.325800176351606,235.28795190317967,192.39446035275435,278.50201845323693,4172.52026737354,4705.759038063593,208.626013368677,235.28795190317965,0.4346375278514104,0.49018323313162426,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,479.57047856888,235.28795190317967,1.0,0.0,0.0,0.0,2.1898851707166753,73.88324385272858,True,True
20,20,480,480,120,1.6,1.0,1.0,141.3572081670078,96.47278542247795,13.5263905867079,17.836514864411498,237.82999358948575,203.06009071350562,288.71086706160645,22.389715245358047,18.632798583641037,28.713688042093878,22.389715245358047,18.632798583641037,28.713688042093878,260.2197088348438,222.14098908965457,317.4245551037003,4756.599871789715,5204.3941766968765,237.82999358948572,260.2197088348438,0.4954791533114286,0.5421243934059246,2,OPTIMAL,0.0010154247283935547,True,True,0.0,0.0,0.0,0,476.1501216246713,260.2197088348438,1.0,0.0,0.0,0.0,1.3369174641442758,36.81484002430557,True,True
20,20,480,480,120,1.6,1.2,1.0,143.314993937607,96.7999263712343,16.10790949742955,21.4566514412878,240.11492030884128,202.7063952521967,291.3838907640552,26.836359139974025,22.242898263273545,32.76060653890361,26.836359139974025,22.242898263273545,32.76060653890361,266.9512794488153,224.96204978524887,324.0922031350089,4802.298406176826,5339.025588976307,240.11492030884128,266.95127944881534,0.500239417310086,0.5561484988516986,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,460.87759622725235,266.9512794488153,1.0,0.0,0.0,0.0,0.23767134612563232,26.053093611217264,True,True
30,20,480,480,120,1.0,1.0,1.0,89.77272402985722,61.00422702780354,13.565365505542355,17.884566242206713,150.77695105766077,122.431511597266,183.39408133117792,22.452709488374786,18.27146160985281,28.703282341306302,22.452709488374786,18.27146160985281,28.703282341306302,173.22966054603555,141.17137921108778,211.25243983014826,4523.308531729823,5196.889816381065,226.16542658649115,259.84449081905325,0.4711779720551899,0.541342689206361,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,398.7989675845819,259.8444908190533,1.0,0.0,0.0,0.0,0.0,0.0,True,True
30,20,480,480,120,1.0,1.2,1.0,89.12268647027628,60.42846200065576,16.111807469581606,21.304500109211446,149.55114847093205,127.02358107237211,185.42297634636836,26.71619782625529,22.325533783978937,33.816021367979374,26.71619782625529,22.325533783978937,33.816021367979374,176.26734629718732,149.34911485635104,219.23899771434773,4486.534454127961,5288.02038891562,224.32672270639804,264.401019445781,0.4673473389716626,0.5508354571787104,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,405.03622914776406,264.401019445781,1.0,0.0,0.0,0.0,0.006432631416778728,1.9297894250336185,True,True
30,20,480,480,120,1.2,1.0,1.0,106.55681302192195,72.58766003822807,13.438101420671567,17.685989557348485,179.14447306015003,150.98757815590722,215.6641630987669,22.217464410251395,18.254035660260755,27.65282692234318,22.217464410251395,18.254035660260755,27.65282692234318,201.36193747040141,169.36513088099156,242.52495558428396,5374.334191804502,6040.858124112043,268.7167095902251,302.04290620560215,0.559826478312969,0.6292560545950044,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,461.3549953084181,302.04290620560215,1.0,0.0,0.0,0.0,1.2287651608180148,40.16534007632356,True,True
30,20,480,480,120,1.2,1.2,1.0,107.4639980111162,72.78324819986162,16.047546100026416,21.250634444845225,180.2472462109778,147.75111254864092,218.65916886131504,26.63650802335729,21.54106165506231,33.39545609857665,26.63650802335729,21.54106165506231,33.39545609857665,206.8837542343351,170.39667105828477,252.0546249598917,5407.4173863293345,6206.512627030054,270.3708693164667,310.3256313515027,0.5632726444093057,0.6465117319822973,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,476.5034559646276,310.32563135150264,1.0,0.0,0.0,0.0,3.9409154198433196,80.96903610338518,True,True
30,20,480,480,120,1.4,1.0,1.0,123.77189596254117,84.38510014302021,13.626463444035322,17.657925316721677,208.15699610556138,174.77993003300008,248.30869296343607,22.310407734810987,18.364746042850182,28.236822322512698,22.310407734810987,18.364746042850182,28.236822322512698,230.46740384037236,193.5651758827472,276.14481158348775,6244.709883166842,6914.022115211171,312.2354941583421,345.70110576055856,0.6504906128298793,0.7202106370011637,2,OPTIMAL,0.004008293151855469,True,True,0.0,0.0,0.0,0,476.15199377287445,345.70110576055856,1.0,0.0,0.0,0.0,2.543205809615759,61.69110851102687,True,True
30,20,480,480,120,1.4,1.2,1.0,124.09485808469567,85.21800877457812,16.076429099897272,21.14730694543625,209.31286685927378,176.9955519709626,250.59902039198366,26.57334628787245,21.654226790977155,33.264794162476605,26.57334628787245,21.654226790977155,33.264794162476605,235.88621314714624,199.65777587494532,283.86381455446025,6279.386005778214,7076.5863944143875,313.9693002889107,353.82931972071935,0.6541027089352306,0.7371444160848319,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,479.90936879844116,353.82931972071935,1.0,0.0,0.0,0.0,6.494737488601569,103.89206700962086,True,True
30,20,480,480,120,1.6,1.0,1.0,141.75985408900195,96.68488908962735,13.408899697475524,17.80575814274752,238.4447431786293,197.45357937189192,286.933785436504,22.297262378915214,18.438344237893293,28.186957898717825,22.297262378915214,18.438344237893293,28.186957898717825,260.74200555754453,216.3637827603846,313.6752187729411,7153.342295358878,7822.260166726337,357.6671147679439,391.11300833631685,0.7451398224332164,0.8148187673673267,2,OPTIMAL,1.5519590377807617,True,True,826.1813453836212,0.0,93.23626907672423,2,531.6774876823888,391.1130083363168,1.0,0.0,0.0,0.0,34.56832364070551,151.28438243409119,True,True
30,20,480,480,120,1.6,1.2,1.0,141.5158871023508,96.97747634356665,16.215244004754396,21.334034777988737,238.49336344591745,194.7289070298699,288.67908700856503,26.804877141103844,21.360933432749945,33.975516745576236,26.804877141103844,21.360933432749945,33.975516745576236,265.2982405870213,217.31876898585853,322.65460375414125,7154.800903377524,7958.947217610639,357.74004516887624,397.94736088053196,0.7452917607684921,0.8290570018344415,2,OPTIMAL,1.8392674922943115,True,True,1795.3009146046134,5.002724908760459e-11,179.0602009029596,5,535.6809071412184,397.94736088053196,1.0,0.0,0.0,0.0033333333333333335,50.80248290667138,187.63376411459546,True,True
40,20,480,480,120,1.0,1.0,1.0,88.90801124564288,60.308687604434475,13.455889397332442,17.623974224083543,149.21669885007736,125.53988643716457,181.0516778289255,22.17876753456171,17.92549017311871,28.764379432412436,22.17876753456171,17.92549017311871,28.764379432412436,171.39546638463906,144.6701952830078,208.92536162244193,5968.667954003093,6855.818655385562,298.4333977001546,342.79093276927813,0.6217362452086554,0.7141477766026628,2,OPTIMAL,0.002512693405151367,True,True,0.0,0.0,0.0,0,473.51987224300325,342.79093276927813,1.0,0.0,0.0,0.0,0.9756078960258755,33.28430921279187,True,True
