day,shift_index,shift_label,day_type,planned_jobs,backlog_jobs_in,realized_queue,executed_sequence,unfinished_sequence,planned_job_count,backlog_in_count,executed_count,unfinished_count,planned_nominal_load,planned_robust_load,backlog_nominal_load,backlog_robust_load,realized_executed_load,capacity,slack,utilization_ratio,overflow_flag,backlog_end_of_day,weekend_day_used,maintenance_start_day,maintenance_end_day,stop_delay_total_min,stop_count_total,first_overflow_day_flag
1,0,day,weekday,"[19, 8, 11, 6, 13, 86]",[],"[19, 8, 11, 6, 13, 86]","[19, 8, 11]","[6, 13, 86]",6,0,3,3,871.0857740227978,922.1373843937148,0.0,0.0,471.00128331981506,480.0,8.998716680184941,0.981252673582948,False,3,False,,,10.715700346595476,28,False
1,1,night,weekday,[],"[6, 13, 86]","[6, 13, 86]","[6, 13, 86]",[],0,3,3,0,0.0,0.0,445.9416584823157,473.3084220876244,479.9471615239311,480.0,0.052838476068927775,0.9998899198415231,False,0,False,,,10.187193676589166,20,False
2,0,day,weekday,"[90, 80, 35, 82, 71, 36]",[],"[90, 80, 35, 82, 71, 36]","[90, 80, 35]","[82, 71, 36]",6,0,3,3,891.4214932037739,942.4905341601424,0.0,0.0,436.76485951063796,480.0,43.23514048936204,0.9099267906471624,False,3,False,,,14.884062279849825,27,True
2,1,night,weekday,[],"[82, 71, 36]","[82, 71, 36]","[82, 71]",[36],0,3,2,1,0.0,0.0,470.58406822540815,497.6857948362823,367.4753895242159,480.0,112.52461047578407,0.7655737281754499,True,1,False,,,11.566352388983589,18,True
3,0,day,weekday,"[97, 87]",[36],"[36, 97, 87]","[36, 97]",[87],2,1,2,1,307.8255128993705,328.015331728639,162.62179864007675,171.81849101505478,342.71565097873554,480.0,137.28434902126446,0.7139909395390324,False,1,False,,,12.544320512874041,22,False
3,1,night,weekday,[],[87],[87],[87],[],0,1,1,0,0.0,0.0,160.2495425981126,170.4539535754381,167.05381355834828,480.0,312.9461864416517,0.3480287782465589,False,0,False,,,3.8013386185360245,8,False
4,0,day,weekday,"[17, 12, 68, 96, 83, 43]",[],"[17, 12, 68, 96, 83, 43]","[17, 12]","[68, 96, 83, 43]",6,0,2,4,906.2569029462752,957.5036872266837,0.0,0.0,297.99573591667973,480.0,182.00426408332027,0.6208244498264162,False,4,False,50.801383437175446,170.80138343717545,0.0,0,False
4,1,night,weekday,[],"[68, 96, 83, 43]","[68, 96, 83, 43]","[68, 96, 83]",[43],0,4,3,1,0.0,0.0,621.8260658076027,656.1710742735643,466.1094099354285,480.0,13.890590064571484,0.9710612706988094,True,1,False,,,0.0,0,False
5,0,day,weekday,"[14, 84, 50, 7, 27, 52]",[43],"[43, 14, 84, 50, 7, 27, 52]","[43, 14]","[84, 50, 7, 27, 52]",6,1,2,5,893.0254496998125,945.8977126831934,165.10479136874167,174.7671778455262,327.5572869706991,480.0,152.44271302930088,0.6824110145222898,False,5,False,,,0.0,0,False
5,1,night,weekday,[],"[84, 50, 7, 27, 52]","[84, 50, 7, 27, 52]","[84, 50]","[7, 27, 52]",0,5,2,3,0.0,0.0,749.469885876948,794.1585001649192,330.3575518456629,480.0,149.6424481543371,0.6882448996784644,True,3,False,,,0.0,0,False
6,0,day,weekday,"[32, 23, 74, 46]","[7, 27, 52]","[7, 27, 52, 32, 23, 74, 46]","[7, 27]","[52, 32, 23, 74, 46]",4,3,2,5,621.746364214546,656.8589464006715,458.37531105782944,484.24790134869704,304.4886328241057,480.0,175.5113671758943,0.6343513183835535,False,5,False,,,0.0,0,False
6,1,night,weekday,[],"[52, 32, 23, 74, 46]","[52, 32, 23, 74, 46]","[52, 32, 23]","[74, 46]",0,5,3,2,0.0,0.0,777.0784021035643,821.1581223202546,467.4520584634562,480.0,12.547941536543817,0.9738584551322004,True,2,False,,,0.0,0,False
7,0,day,weekday,"[61, 1, 34, 93]","[74, 46]","[74, 46, 61, 1, 34, 93]","[74, 46]","[61, 1, 34, 93]",4,2,2,4,605.4031684078377,639.6159352038817,321.827728742061,339.7366339656521,349.9108958662689,480.0,130.0891041337311,0.7289810330547268,False,4,False,,,0.0,0,False
7,1,night,weekday,[],"[61, 1, 34, 93]","[61, 1, 34, 93]","[61, 1, 34]",[93],0,4,3,1,0.0,0.0,605.4031684078377,639.6159352038817,466.2523655439151,480.0,13.747634456084882,0.9713590948831565,True,1,False,,,0.0,0,False
8,0,day,weekday,"[58, 49, 60, 3, 51, 100]",[93],"[93, 58, 49, 60, 3, 51, 100]","[93, 58]","[49, 60, 3, 51, 100]",6,1,2,5,903.6118308404918,953.2902727211174,159.91194046203043,168.3810044434334,323.4164410883602,480.0,156.58355891163978,0.6737842522674171,False,5,False,,,0.0,0,False
8,1,night,weekday,[],"[49, 60, 3, 51, 100]","[49, 60, 3, 51, 100]","[49, 60, 3]","[51, 100]",0,5,3,2,0.0,0.0,765.3218313481212,806.6551668480859,467.43116221285254,480.0,12.568837787147459,0.9738149212767762,True,2,False,,,0.0,0,False
9,0,day,weekday,"[73, 88, 48, 2, 57]","[51, 100]","[51, 100, 73, 88, 48, 2, 57]",[51],"[100, 73, 88, 48, 2, 57]",5,2,1,6,734.9967211386547,779.3756710350366,318.0583562641739,335.22618328607496,165.87013212164473,480.0,314.1298678783553,0.34556277525342655,False,6,False,76.81237265291622,196.81237265291622,0.0,0,False
9,1,night,weekday,[],"[100, 73, 88, 48, 2, 57]","[100, 73, 88, 48, 2, 57]","[100, 73, 88]","[48, 2, 57]",0,6,3,3,0.0,0.0,894.5872081635064,948.5998707541779,466.61279045139196,480.0,13.387209548608041,0.9721099801070666,True,3,False,,,0.0,0,False
10,0,day,weekday,"[70, 25, 53, 16]","[48, 2, 57]","[48, 2, 57, 70, 25, 53, 16]","[48, 2]","[57, 70, 25, 53, 16]",4,3,2,5,598.176846371854,633.5906457438225,457.0971768731369,484.02855564746955,326.6391660811466,480.0,153.36083391885342,0.6804982626690553,False,5,False,,,0.0,0,False
10,1,night,weekday,[],"[57, 70, 25, 53, 16]","[57, 70, 25, 53, 16]","[57, 70, 25]","[53, 16]",0,5,3,2,0.0,0.0,751.4860095688709,796.4634855590239,475.79491526912136,480.0,4.205084730878639,0.9912394068106695,True,2,False,,,0.0,0,False
