day,shift_index,shift_label,day_type,planned_jobs,backlog_jobs_in,realized_queue,executed_sequence,unfinished_sequence,planned_job_count,backlog_in_count,executed_count,unfinished_count,planned_nominal_load,planned_robust_load,backlog_nominal_load,backlog_robust_load,realized_executed_load,capacity,slack,utilization_ratio,overflow_flag,backlog_end_of_day,weekend_day_used,maintenance_start_day,maintenance_end_day,stop_delay_total_min,stop_count_total,first_overflow_day_flag
1,0,day,weekday,"[19, 8, 11, 6, 13, 86]",[],"[19, 8, 11, 6, 13, 86]","[19, 8, 11]","[6, 13, 86]",6,0,3,3,871.0857740227978,922.1373843937148,0.0,0.0,471.00128331981506,480.0,8.998716680184941,0.981252673582948,False,3,False,,,10.715700346595476,28,False
1,1,night,weekday,[],"[6, 13, 86]","[6, 13, 86]","[6, 13, 86]",[],0,3,3,0,0.0,0.0,445.9416584823157,473.3084220876244,479.9471615239311,480.0,0.052838476068927775,0.9998899198415231,False,0,False,,,10.187193676589166,20,False
2,0,day,weekday,"[90, 80, 35, 82, 71, 36]",[],"[90, 80, 35, 82, 71, 36]","[90, 80, 35]","[82, 71, 36]",6,0,3,3,891.4214932037739,942.4905341601424,0.0,0.0,436.76485951063796,480.0,43.23514048936204,0.9099267906471624,False,3,False,,,14.884062279849825,27,True
2,1,night,weekday,[],"[82, 71, 36]","[82, 71, 36]","[82, 71]",[36],0,3,2,1,0.0,0.0,470.58406822540815,497.6857948362823,367.4753895242159,480.0,112.52461047578407,0.7655737281754499,True,1,False,,,11.566352388983589,18,True
3,0,day,weekday,"[97, 87]",[36],"[36, 97, 87]","[36, 97]",[87],2,1,2,1,307.8255128993705,328.015331728639,162.62179864007675,171.81849101505478,342.71565097873554,480.0,137.28434902126446,0.7139909395390324,False,1,False,,,12.544320512874041,22,False
3,1,night,weekday,[],[87],[87],[87],[],0,1,1,0,0.0,0.0,160.2495425981126,170.4539535754381,167.05381355834828,480.0,312.9461864416517,0.3480287782465589,False,0,False,,,3.8013386185360245,8,False
4,0,day,weekday,"[17, 12, 68, 96, 83, 43]",[],"[17, 12, 68, 96, 83, 43]","[17, 12, 68]","[96, 83, 43]",6,0,3,3,906.2569029462752,957.5036872266837,0.0,0.0,454.62390639863014,480.0,25.37609360136986,0.9471331383304794,False,3,False,,,10.046372926535376,23,False
4,1,night,weekday,[],"[96, 83, 43]","[96, 83, 43]","[96, 83]",[43],0,3,2,1,0.0,0.0,472.7263933933434,498.94662406927335,326.26878825339674,480.0,153.73121174660326,0.6797266421945766,True,1,False,,,13.185523522446065,21,False
5,0,day,weekday,"[14, 84, 50, 7, 27, 52]",[43],"[43, 14, 84, 50, 7, 27, 52]","[43, 14]","[84, 50, 7, 27, 52]",6,1,2,5,893.0254496998125,945.8977126831934,165.10479136874167,174.7671778455262,348.8576705825029,480.0,131.14232941749708,0.7267868137135477,False,5,False,,,7.506892501714755,18,False
5,1,night,weekday,[],"[84, 50, 7, 27, 52]","[84, 50, 7, 27, 52]","[84, 50]","[7, 27, 52]",0,5,2,3,0.0,0.0,749.469885876948,794.1585001649192,323.74452650170696,480.0,156.25547349829304,0.6744677635452229,True,3,False,,,16.097518304289927,22,False
6,0,day,weekday,"[32, 23, 74, 46]","[7, 27, 52]","[7, 27, 52, 32, 23, 74, 46]","[7, 27]","[52, 32, 23, 74, 46]",4,3,2,5,621.746364214546,656.8589464006715,458.37531105782944,484.24790134869704,315.10876054888195,480.0,164.89123945111805,0.6564765844768374,False,5,False,,,3.094557394817766,14,False
6,1,night,weekday,[],"[52, 32, 23, 74, 46]","[52, 32, 23, 74, 46]","[52, 32]","[23, 74, 46]",0,5,2,3,0.0,0.0,777.0784021035643,821.1581223202546,350.577740867594,480.0,129.422259132406,0.7303702934741542,True,3,False,,,11.555399464692934,22,False
7,0,day,weekday,"[61, 1, 34, 93]","[23, 74, 46]","[23, 74, 46, 61, 1, 34, 93]","[23, 74]","[46, 61, 1, 34, 93]",4,3,2,5,605.4031684078377,639.6159352038817,473.2951034634949,499.44738730896654,356.47993928470675,480.0,123.52006071529325,0.7426665401764724,False,5,False,,,9.208301382198094,15,False
7,1,night,weekday,[],"[46, 61, 1, 34, 93]","[46, 61, 1, 34, 93]","[46, 61]","[1, 34, 93]",0,5,2,3,0.0,0.0,766.6190234694238,810.2057011695388,324.2146005888044,480.0,155.7853994111956,0.6754470845600091,True,3,False,,,10.835388069339745,17,False
8,0,day,weekday,"[58, 49, 60, 3, 51, 100]","[1, 34, 93]","[1, 34, 93, 58, 49, 60, 3, 51, 100]","[1, 34]","[93, 58, 49, 60, 3, 51, 100]",6,3,2,7,903.6118308404918,953.2902727211174,463.9949245122896,489.6818180636766,343.58339724315283,480.0,136.41660275684717,0.7157987442565684,False,7,False,,,11.424189631922314,22,False
8,1,night,weekday,[],"[93, 58, 49, 60, 3, 51, 100]","[93, 58, 49, 60, 3, 51, 100]","[93, 58]","[49, 60, 3, 51, 100]",0,7,2,5,0.0,0.0,1063.5237713025224,1121.6712771645507,318.1517837204701,480.0,161.84821627952988,0.6628162160843127,True,5,False,,,11.512395558899186,14,False
9,0,day,weekday,"[73, 88, 48, 2, 57]","[49, 60, 3, 51, 100]","[49, 60, 3, 51, 100, 73, 88, 48, 2, 57]","[49, 60]","[3, 51, 100, 73, 88, 48, 2, 57]",5,5,2,8,734.9967211386547,779.3756710350366,765.3218313481212,806.6551668480859,331.5613379242467,480.0,148.4386620757533,0.6907527873421806,False,8,False,,,8.026921076751748,21,False
9,1,night,weekday,[],"[3, 51, 100, 73, 88, 48, 2, 57]","[3, 51, 100, 73, 88, 48, 2, 57]","[3, 51]","[100, 73, 88, 48, 2, 57]",0,8,2,6,0.0,0.0,1203.712300074749,1273.4655519864948,326.3256253887274,480.0,153.67437461127258,0.6798450528931821,True,6,False,,,9.112097582338626,20,False
10,0,day,weekday,"[70, 25, 53, 16]","[100, 73, 88, 48, 2, 57]","[100, 73, 88, 48, 2, 57, 70, 25, 53, 16]","[100, 73, 88]","[48, 2, 57, 70, 25, 53, 16]",4,6,3,7,598.176846371854,633.5906457438225,894.5872081635064,948.5998707541779,466.38074250335075,480.0,13.619257496649254,0.9716265468819807,False,7,False,,,10.082114606418642,30,False
